Time,VehicleID,RSU_ID
265.0,v_2,RSU_3
266.0,v_0,RSU_2
266.0,v_1,RSU_0
266.0,v_2,RSU_3
267.0,v_0,RSU_2
267.0,v_1,RSU_0
267.0,v_2,RSU_3
268.0,v_0,RSU_2
268.0,v_1,RSU_0
268.0,v_2,RSU_3
269.0,v_0,RSU_2
269.0,v_1,RSU_0
269.0,v_2,RSU_3
270.0,v_0,RSU_2
270.0,v_1,RSU_0
270.0,v_2,RSU_3
271.0,v_0,RSU_2
271.0,v_1,
271.0,v_2,RSU_3
272.0,v_0,RSU_2
272.0,v_1,
272.0,v_2,RSU_3
273.0,v_0,RSU_2
273.0,v_1,
273.0,v_2,RSU_3
274.0,v_0,RSU_2
274.0,v_1,
274.0,v_2,RSU_3
275.0,v_0,RSU_2
275.0,v_1,
275.0,v_2,RSU_3
276.0,v_0,RSU_2
276.0,v_1,
276.0,v_2,RSU_3
277.0,v_0,RSU_2
277.0,v_1,
277.0,v_2,RSU_3
278.0,v_0,RSU_2
278.0,v_1,
278.0,v_2,RSU_3
279.0,v_0,RSU_2
279.0,v_1,
279.0,v_2,RSU_3
280.0,v_0,RSU_2
280.0,v_1,
280.0,v_2,RSU_3
281.0,v_0,RSU_2
281.0,v_1,
281.0,v_2,RSU_3
282.0,v_0,RSU_2
282.0,v_1,
282.0,v_2,RSU_3
283.0,v_0,RSU_2
283.0,v_1,
283.0,v_2,RSU_3
284.0,v_0,RSU_2
284.0,v_1,
284.0,v_2,RSU_3
285.0,v_0,RSU_2
285.0,v_1,
285.0,v_2,RSU_3
286.0,v_0,RSU_2
286.0,v_1,
286.0,v_2,RSU_3
287.0,v_0,RSU_2
287.0,v_1,
287.0,v_2,RSU_3
288.0,v_0,RSU_2
288.0,v_1,
288.0,v_2,RSU_3
289.0,v_0,RSU_2
289.0,v_1,
289.0,v_2,RSU_3
290.0,v_0,RSU_2
290.0,v_1,
290.0,v_2,RSU_3
291.0,v_0,RSU_2
291.0,v_1,
291.0,v_2,RSU_3
292.0,v_0,RSU_2
292.0,v_1,
292.0,v_2,RSU_3
293.0,v_0,RSU_2
293.0,v_1,
293.0,v_2,RSU_3
294.0,v_0,RSU_2
294.0,v_1,
294.0,v_2,RSU_3
295.0,v_0,RSU_2
295.0,v_1,
295.0,v_2,RSU_3
296.0,v_0,RSU_2
296.0,v_1,
296.0,v_2,RSU_3
297.0,v_0,RSU_2
297.0,v_1,
297.0,v_2,RSU_3
298.0,v_0,RSU_2
298.0,v_1,
298.0,v_2,RSU_3
299.0,v_0,RSU_2
299.0,v_1,
299.0,v_2,RSU_3
300.0,v_0,RSU_2
300.0,v_1,RSU_7
300.0,v_2,RSU_3
301.0,v_0,RSU_2
301.0,v_1,RSU_7
301.0,v_2,RSU_3
302.0,v_0,RSU_2
302.0,v_1,RSU_7
302.0,v_2,RSU_3
303.0,v_0,RSU_2
303.0,v_1,RSU_7
303.0,v_2,RSU_3
304.0,v_0,RSU_2
304.0,v_1,RSU_7
304.0,v_2,RSU_3
305.0,v_0,RSU_2
305.0,v_1,RSU_7
305.0,v_2,RSU_3
306.0,v_0,RSU_2
306.0,v_1,RSU_7
306.0,v_2,RSU_3
307.0,v_0,RSU_2
307.0,v_1,RSU_7
307.0,v_2,RSU_3
308.0,v_0,RSU_2
308.0,v_1,RSU_7
